06-12-23 13:17:19 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:17:33 - Voltage 1.2 - INFO   Current = 0.3994
06-12-23 13:17:46 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:17:59 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:18:12 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:18:25 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:18:39 - Voltage 1.2 - INFO   Current = 0.3982
06-12-23 13:18:52 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:19:05 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:19:18 - Voltage 1.2 - INFO   Current = 0.3994
06-12-23 13:19:31 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:19:45 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:19:58 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:20:11 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:20:24 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:20:37 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:20:50 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:21:04 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:21:17 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 13:21:30 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:21:43 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:21:56 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:22:10 - Voltage 1.2 - INFO   Current = 0.3999
06-12-23 13:22:23 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:22:36 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:22:49 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:23:03 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:23:16 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:23:29 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:23:42 - Voltage 1.2 - INFO   Current = 0.3994
06-12-23 13:23:55 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:24:08 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:24:22 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:24:35 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 13:24:48 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:25:01 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:25:14 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:25:28 - Voltage 1.2 - INFO   Current = 0.3982
06-12-23 13:25:41 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 13:25:54 - Voltage 1.2 - INFO   Current = 0.3982
06-12-23 13:26:07 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:26:21 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:26:34 - Voltage 1.2 - INFO   Current = 0.3982
06-12-23 13:26:47 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:27:00 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:27:13 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:27:27 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:27:40 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:27:53 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:28:06 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:28:19 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:28:32 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:28:46 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:28:59 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:29:12 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:29:25 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:29:39 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:29:52 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:30:05 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:30:18 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:30:31 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:30:45 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:30:58 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:31:11 - Voltage 1.2 - INFO   Current = 0.3994
06-12-23 13:31:24 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 13:31:37 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 13:31:50 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:32:04 - Voltage 1.2 - INFO   Current = 0.3999
06-12-23 13:32:17 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:32:30 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:32:43 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:32:57 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:33:10 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:33:23 - Voltage 1.2 - INFO   Current = 0.3982
06-12-23 13:33:36 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:33:49 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:34:03 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:34:16 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 13:34:29 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:34:42 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:34:55 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:35:08 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 13:35:22 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:35:35 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 13:35:48 - Voltage 1.2 - INFO   Current = 0.3992
