CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,4,246,12,0,15,0,255,0,1,0
255,255,255,255,255,251,255,3,255,255,255,0
2,0,255,255,255,255,255,255,255,255,255,255
0,0,43,255,227,255,19,255,0,255,255,255
0,0,0,0,0,0,0,37,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
171,255,0,0,0,0,0,0,0,0,0,0
255,255,47,128,19,0,98,0,255,0,0,0
255,255,255,255,255,94,255,0,255,63,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,20,255,6,255,7,255,0,255,255,255
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0,0
