CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12
878360,974775,376,1203216,0,104073,0,0,0,1158942,0,0,11808
794614,1036829,642,1180579,0,135238,0,2,0,1221464,0,0,16347
706515,1080753,1428,1182929,0,187341,0,5,0,1274501,0,1,25921
605517,1122079,3011,1182548,0,251208,0,8,0,1307649,0,0,40208
516449,1155317,5580,1192814,0,340746,0,21,0,1327153,0,0,57707
425281,1192119,11415,1198001,0,443898,0,65,0,1344309,2,4,84459
355484,1225226,20822,1191544,0,540633,0,159,0,1353495,0,5,121626
292410,1250658,33912,1179880,1,628597,0,337,0,1350335,1,19,162028
268899,1291936,45617,1196973,0,722777,0,434,0,1381804,10,25,203798
235875,1314467,59453,1155594,7,777609,0,756,0,1375718,17,63,247511
193213,1342181,87879,1098796,18,861202,0,1317,0,1342040,35,100,326649
162011,1381623,144659,1033390,38,951048,0,2699,0,1293389,96,298,444119
145951,1407519,206609,975758,96,1026175,0,4147,0,1247779,139,414,541920
130985,1433080,274752,902021,179,1084712,0,6363,0,1194007,308,854,637710
117747,1460617,370184,807509,454,1136478,0,10148,0,1136616,592,1563,757082
108573,1479808,462281,713421,786,1178245,0,15593,0,1068716,1071,2743,858549
97067,1507533,536593,544494,1554,1186699,0,19616,0,1046569,1411,5130,1005796
87836,1519339,604825,458323,2498,1215251,0,27796,0,989542,2081,7062,1076287
80365,1526183,678656,386994,4547,1248891,0,40909,0,910896,3089,11216,1146131
73309,1526446,777480,325329,8709,1282370,0,60792,0,806458,4665,17265,1214017
67643,1522478,848113,281539,14963,1311948,0,82815,0,720208,6543,22856,1252861
60707,1513988,918826,230511,25333,1346679,0,115114,0,621518,9943,35212,1293396
51779,1498208,982126,181810,43131,1381347,0,166802,0,527407,15313,55549,1334605
44601,1473146,1015237,150881,64372,1408884,0,218686,0,452901,20670,78994,1364102
39333,1473271,1008512,121924,86291,1442968,0,295186,0,368682,25813,99177,1398077
30904,1446035,1019922,95478,118519,1469089,0,375053,0,318622,32668,133400,1428451
23566,1404550,1030290,77600,167977,1494344,1,464620,0,266125,43113,183415,1461052
17445,1351320,1082891,64185,229001,1517349,16,557265,0,210833,57871,245950,1489596
13503,1290143,1131900,54583,314341,1537461,22,659391,0,163880,80276,318220,1507375
8944,1201858,1191491,45116,406272,1553972,89,763826,0,119058,114580,432806,1521706
5985,1115676,1233068,38178,499423,1561989,203,853301,0,87996,159189,543840,1527594
3925,1035578,1261729,33295,561884,1561990,367,919413,0,66522,200900,640609,1521011
2022,933111,1265018,23408,698496,1540006,623,968755,2,56954,284953,782276,1501597
1043,861809,1268992,18201,759669,1531784,1057,1028884,8,43748,338085,866296,1477834
540,775350,1270627,13942,832055,1516834,2139,1087651,23,29875,413745,958983,1439160
258,677676,1284684,10238,912379,1492772,4384,1147861,37,17286,514913,1051728,1371885
153,609986,1275617,8435,972575,1470763,8037,1192216,87,11089,599027,1110910,1301918
67,534075,1243209,6266,1021583,1434951,15289,1233933,179,6346,703914,1175748,1219694
28,466553,1205491,4318,1064024,1389558,26681,1276706,461,3476,822281,1231464,1122224
15,415976,1148863,3215,1082820,1349261,42435,1310703,800,2067,897032,1268613,1038035
2,374671,1178356,1876,1071686,1288018,48311,1358260,1411,934,973934,1313352,1018147
2,338220,1156198,1061,1079526,1243230,65861,1387547,2215,635,1024433,1339903,953038
0,293824,1123989,544,1104416,1181162,96443,1417173,4288,285,1086566,1363964,880096
