CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,9,255,16,0,14,0,255,0,0,0
255,255,255,255,255,255,255,2,255,255,255,0
3,0,255,255,255,255,255,255,255,255,255,255
0,0,42,255,211,255,32,255,0,255,255,255
0,0,0,0,0,0,0,27,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
189,255,0,0,0,0,0,0,0,0,0,0
255,255,39,118,14,0,82,0,255,0,0,0
255,255,255,255,255,50,255,0,255,56,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,7,255,1,255,0,255,1,255,255,255
0,0,0,0,0,1,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
