CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,3,229,9,0,13,0,255,0,0,0
255,255,255,255,255,255,255,2,255,255,255,0
8,0,255,255,255,255,255,255,255,255,255,255
0,0,50,255,216,255,25,255,0,255,255,255
0,0,0,0,0,2,0,26,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
189,255,0,0,0,0,0,0,0,0,0,0
255,255,48,93,12,0,86,0,255,0,0,0
255,255,255,255,255,94,255,0,255,73,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,20,255,5,255,2,255,1,255,255,255
0,0,0,0,0,2,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
