CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,8,255,9,0,13,0,255,0,0,0
255,255,255,255,255,235,255,1,255,255,255,1
3,0,255,255,255,255,255,255,255,255,255,255
0,0,54,255,255,255,40,255,0,255,255,255
0,0,0,0,0,0,0,37,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
123,255,0,0,0,0,0,0,0,0,0,0
255,255,59,118,32,0,86,0,255,0,0,0
255,255,255,255,255,64,255,0,255,38,255,0
1,0,255,255,255,255,255,255,255,255,255,255
0,0,11,255,0,255,0,255,0,255,255,255
0,0,0,0,0,2,0,4,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
