CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,8,255,15,0,13,0,255,0,0,0
255,255,255,255,255,255,255,6,255,255,255,2
3,0,255,255,255,255,255,255,255,255,255,255
0,0,37,255,199,255,21,255,0,255,255,255
0,0,0,0,0,0,0,36,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
164,255,0,0,0,0,0,0,0,0,0,0
255,255,76,135,38,0,116,0,255,0,0,0
255,255,255,255,255,83,255,0,255,59,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,9,255,4,255,4,255,1,255,255,255
0,0,0,0,0,3,0,3,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
