CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,8,255,12,0,16,0,255,0,0,0
255,255,255,255,255,255,255,3,255,255,255,1
2,0,255,255,255,255,255,255,255,255,255,255
0,0,43,255,185,255,19,255,0,255,255,255
0,0,0,0,0,0,0,37,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
140,255,0,0,0,0,0,0,0,0,0,0
255,255,62,125,33,0,91,0,255,0,0,0
255,255,255,255,255,70,255,0,255,46,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,10,255,0,255,0,255,0,255,255,255
0,0,0,0,0,8,0,7,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
