CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12
13286,11462,0,15969,0,832,0,0,0,13983,0,0,85
4687,16051,310,17861,0,7687,0,3,0,18000,0,0,1519
1407,19346,5186,8866,9,14877,0,170,0,14670,6,32,11576
627,19299,12585,2128,708,18453,0,2747,0,5841,206,757,17400
61,13686,15954,417,7395,20196,3,11349,0,1178,2453,8000,19673
1,5855,17529,52,13475,17894,413,16882,11,32,10824,16349,15066
0,1645,12975,0,16521,10176,5571,18876,771,0,16506,18126,7115
0,66,6383,0,17621,2904,13368,17027,7788,0,17125,11251,2748
0,1,1958,0,15439,424,17817,9520,15280,0,9567,5266,420
0,0,197,0,11511,16,18826,2704,18575,0,4645,1290,8
0,0,0,0,3868,0,12251,392,19139,0,1321,30,0
0,0,0,0,272,0,3867,16,11180,0,91,0,0
0,0,0,0,8,0,488,0,4756,0,1,0,0
0,0,0,0,0,0,14,0,623,0,0,0,0
0,0,0,0,0,0,0,0,7,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,192,0,0,0
1806,0,0,0,0,0,0,0,0,3336,0,0,0
9031,0,0,256,0,0,0,0,0,10588,0,0,0
16511,0,0,3632,0,0,0,0,0,14373,0,0,0
17234,108,0,11376,0,0,0,0,0,17057,0,0,0
14752,2704,0,17354,0,12,0,0,0,18957,0,0,8
9748,11778,10,19012,0,485,0,0,0,17941,0,0,942
3697,17030,588,16622,0,6452,0,4,0,14511,0,0,8047
724,16125,5120,9281,0,15445,0,533,0,13188,21,119,15975
58,14957,12947,2829,123,18681,0,5659,0,6698,1466,3108,18944
1,13141,14685,351,2765,15943,5,15087,0,1581,8144,12392,19887
0,5668,10745,1,11003,15213,190,17844,8,163,12714,16696,15826
0,982,7219,0,16646,11185,5204,16540,922,5,15783,16753,7054
0,50,4162,0,16220,3867,14421,15682,8799,0,17884,11730,3558
0,1,853,0,8645,633,17477,10259,15992,0,13336,5093,898
0,0,65,0,8410,51,13024,3608,19620,0,5816,2214,34
0,0,3,0,7161,0,11535,685,19996,0,3074,173,0
0,0,0,0,690,0,5264,14,14883,0,893,5,0
0,0,0,0,3,0,454,0,6418,0,53,0,0
0,0,0,0,0,0,11,0,2184,0,0,0,0
0,0,0,0,0,0,0,0,137,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0
910,0,0,0,0,0,0,0,0,43,0,0,0
4741,0,0,4,0,0,0,0,0,530,0,0,0
11252,0,0,109,0,0,0,0,0,2456,0,0,0
14183,3,0,1020,0,0,0,0,0,11215,0,0,0
16891,207,0,5822,0,0,0,0,0,16819,0,0,0
17364,2889,0,14832,0,11,0,0,0,18930,0,0,1
12769,12608,2,17483,0,317,0,0,0,19340,0,0,42
4782,16935,315,16156,0,4867,0,54,0,19306,0,0,1141
1464,19752,4762,14338,0,13610,0,744,0,14080,3,4,8138
777,17760,13311,5961,34,17917,0,6558,0,7189,63,257,17074
146,10357,15749,2235,848,21958,2,15131,0,2718,1057,2845,19614
3,4548,14264,385,6635,17945,71,18867,0,376,6783,12981,13762
0,2155,7758,35,13626,11590,1716,20100,54,10,14655,17870,6088
0,352,4978,0,15009,4671,10490,15381,1754,0,19451,13302,4206
